@relation 'ant-weka.filters.unsupervised.attribute.Remove-V-R10,22,26-27,29,33,52,54,94,108,119,140-141,183,193,232,288,337,381,442,444,452,459,462,465,511,521,527,534,541,549,565,576,598,603,614,625,653,663,667,674,692,714,737,746,760,777,788,799,818,894,909,925-926,931,935,972,979,991,1011-1012,1014,1044,1059,1065,1082,1181,1192,1217-1218,1300,1384-1385,1533,1571,1604,1668,1774,1781,1819,1842,1853,1876,2012,2015,2022,2042,2067,2075,2119,2332,2383,2428,2433,2465,2467,2472,2498,2510,2514,2613,2833,3105,3173,3191,3561-3562,4085,4108,4292,4920,4960,4981,5307,5598,5605,5758,6341,7318,7370-7371,8003,8415,8574,9949,10164,10850,10886,13361,19572'

@attribute CountDeclClassMethod numeric
@attribute CountLineCode numeric
@attribute CountSemicolon numeric
@attribute CountStmt numeric
@attribute CountStmtExe numeric
@attribute MaxNesting numeric
@attribute Efficiency numeric
@attribute Hierarchy numeric
@attribute s23 numeric
@attribute s37 numeric
@attribute s48 numeric
@attribute s69 numeric
@attribute s70 numeric
@attribute s112 numeric
@attribute s122 numeric
@attribute s161 numeric
@attribute s217 numeric
@attribute s266 numeric
@attribute s310 numeric
@attribute s371 numeric
@attribute s373 numeric
@attribute s381 numeric
@attribute s388 numeric
@attribute s391 numeric
@attribute s394 numeric
@attribute s440 numeric
@attribute s450 numeric
@attribute s456 numeric
@attribute s463 numeric
@attribute s470 numeric
@attribute s478 numeric
@attribute s494 numeric
@attribute s505 numeric
@attribute s527 numeric
@attribute s532 numeric
@attribute s543 numeric
@attribute s554 numeric
@attribute s582 numeric
@attribute s592 numeric
@attribute s596 numeric
@attribute s603 numeric
@attribute s621 numeric
@attribute s643 numeric
@attribute s666 numeric
@attribute s675 numeric
@attribute s689 numeric
@attribute s706 numeric
@attribute s717 numeric
@attribute s728 numeric
@attribute s747 numeric
@attribute s823 numeric
@attribute s838 numeric
@attribute s854 numeric
@attribute s855 numeric
@attribute s860 numeric
@attribute s864 numeric
@attribute s901 numeric
@attribute s908 numeric
@attribute s920 numeric
@attribute s940 numeric
@attribute s941 numeric
@attribute s943 numeric
@attribute s973 numeric
@attribute s988 numeric
@attribute s994 numeric
@attribute s1011 numeric
@attribute s1110 numeric
@attribute s1121 numeric
@attribute s1146 numeric
@attribute s1147 numeric
@attribute s1229 numeric
@attribute s1313 numeric
@attribute s1314 numeric
@attribute s1462 numeric
@attribute s1500 numeric
@attribute s1533 numeric
@attribute s1597 numeric
@attribute s1703 numeric
@attribute s1710 numeric
@attribute s1748 numeric
@attribute s1771 numeric
@attribute s1782 numeric
@attribute s1805 numeric
@attribute s1941 numeric
@attribute s1944 numeric
@attribute s1951 numeric
@attribute s1971 numeric
@attribute s1996 numeric
@attribute s2004 numeric
@attribute s2048 numeric
@attribute s2261 numeric
@attribute s2312 numeric
@attribute s2357 numeric
@attribute s2362 numeric
@attribute s2394 numeric
@attribute s2396 numeric
@attribute s2401 numeric
@attribute s2427 numeric
@attribute s2439 numeric
@attribute s2443 numeric
@attribute s2542 numeric
@attribute s2762 numeric
@attribute s3034 numeric
@attribute s3102 numeric
@attribute s3120 numeric
@attribute s3490 numeric
@attribute s3491 numeric
@attribute s4014 numeric
@attribute s4037 numeric
@attribute s4221 numeric
@attribute s4849 numeric
@attribute s4889 numeric
@attribute s4910 numeric
@attribute s5236 numeric
@attribute s5527 numeric
@attribute s5534 numeric
@attribute s5687 numeric
@attribute s6270 numeric
@attribute s7247 numeric
@attribute s7299 numeric
@attribute s7300 numeric
@attribute s7932 numeric
@attribute s8344 numeric
@attribute s8503 numeric
@attribute s9878 numeric
@attribute s10093 numeric
@attribute s10779 numeric
@attribute s10815 numeric
@attribute s13290 numeric
@attribute change_prone {false,true}

@data
0,175,79,121,74,3,0.975823,0.598954,11,19,0,0,143,2,1,0,0,9,0,2,1,2,6,18,8,4,6,0,0,1,0,0,4,8,4,0,0,0,4,4,0,4,0,0,0,0,0,0,6,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,94,47,72,38,3,0.791667,0.000258,17,9,0,1,19,0,0,0,0,6,0,3,2,8,0,22,0,2,0,0,0,0,5,0,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,190,96,139,78,6,0.77551,0.00025,14,14,0,0,18,2,0,0,0,14,3,1,3,11,0,48,0,3,0,0,0,0,6,0,0,0,1,0,0,3,2,7,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,1,2,0,0,0,0,1,0,2,1,0,0,2,1,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,369,164,251,152,3,0.75,0.014217,6,18,0,2,65,0,0,0,0,16,0,4,6,17,2,55,3,2,3,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,2,3,0,0,2,0,0,0,1,16,1,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,7,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,422,195,284,168,4,0.698962,0.026747,23,20,0,6,71,2,2,0,0,9,24,1,4,10,6,78,13,4,25,0,0,1,0,0,6,4,1,0,0,0,6,0,0,4,0,0,3,0,0,0,0,1,0,0,23,0,8,2,1,0,0,1,2,0,0,1,4,0,0,0,0,0,0,11,0,0,4,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,292,123,194,133,4,0.736111,0.00141,16,20,0,0,32,0,0,0,0,33,0,1,1,3,0,34,1,2,4,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,1,0,3,4,0,2,0,0,1,0,4,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,98,42,59,30,4,0.59375,0.000212,4,3,0,0,15,0,0,0,0,1,0,3,6,6,1,18,1,1,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,2,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,49,21,32,17,1,0.666667,0.00357,2,6,0,0,14,0,0,0,0,0,0,1,0,2,1,7,5,1,5,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,377,166,241,147,4,0.718954,0.074136,8,31,0,0,29,3,0,0,0,16,3,1,3,4,0,67,1,3,1,2,2,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,138,76,105,45,1,0.77071,0.041134,6,18,0,6,23,1,0,0,1,9,0,1,1,7,0,17,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,341,165,245,147,4,0.711097,0.060855,17,36,0,0,59,6,2,0,0,18,1,3,2,6,6,69,11,7,13,0,0,0,0,0,2,3,0,0,0,3,0,0,0,6,0,1,3,0,0,2,1,0,0,1,6,0,0,3,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
8,660,298,445,283,4,0.860422,0.239319,50,63,0,4,91,1,10,2,1,48,1,6,14,31,5,148,9,21,19,22,0,0,0,5,13,5,1,0,4,4,0,2,0,6,1,7,7,0,0,1,1,0,0,0,13,0,0,3,1,6,0,1,1,0,1,0,3,0,0,0,0,0,0,8,2,0,0,1,0,5,0,1,0,2,0,0,0,0,7,0,0,0,0,0,2,2,0,0,1,0,0,0,6,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,240,126,171,88,5,0.815,0.011398,7,6,0,4,23,0,0,0,1,4,0,4,5,14,2,58,5,3,4,0,2,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,6,0,0,0,0,1,0,0,5,5,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,3,13,6,1,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,214,102,150,82,3,0.710938,0.012101,7,13,0,0,22,0,0,0,1,6,0,1,5,12,0,43,1,2,1,0,2,0,0,0,2,1,1,2,0,2,0,0,0,0,0,1,5,0,0,1,2,2,2,0,7,0,0,1,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,true
2,558,262,366,232,4,0.77551,0.021157,31,30,0,3,56,0,0,0,0,15,0,1,12,11,6,113,11,14,11,1,3,0,0,0,1,5,1,2,5,3,0,0,0,3,0,3,0,0,0,0,0,0,6,1,11,2,4,4,2,4,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,4,1,1,0,1,0,0,0,3,4,1,6,19,0,0,1,7,2,0,0,6,0,23,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
