@relation 'eclipse-weka.filters.unsupervised.attribute.Remove-V-R10,19,83,142,157,247,260,262,265,477,552,726,770,807,827,888,1013,1165,1168,1268,1270,1307,1315,1343,1386,1516,1561,1587,1622,1761,1785,1801,2201,2217,2220,2226,2244,2319,2353,2363,2369,2403,2716,2789,2924,3526,3865,4158-4159,4277,5422,5859,5881,6130,6193,6213,6739,7516,7591,7670,7923,8554,8895,10811,12688,12826,13017,14002,14085,14120,14325,14585,14983,16660,16734,17791,19427,22482,22548,25904,26224,28950,34811,34934'

@attribute CountDeclClassMethod numeric
@attribute CountDeclMethodPublic numeric
@attribute s12 numeric
@attribute s71 numeric
@attribute s86 numeric
@attribute s176 numeric
@attribute s189 numeric
@attribute s191 numeric
@attribute s194 numeric
@attribute s406 numeric
@attribute s481 numeric
@attribute s655 numeric
@attribute s699 numeric
@attribute s736 numeric
@attribute s756 numeric
@attribute s817 numeric
@attribute s942 numeric
@attribute s1094 numeric
@attribute s1097 numeric
@attribute s1197 numeric
@attribute s1199 numeric
@attribute s1236 numeric
@attribute s1244 numeric
@attribute s1272 numeric
@attribute s1315 numeric
@attribute s1445 numeric
@attribute s1490 numeric
@attribute s1516 numeric
@attribute s1551 numeric
@attribute s1690 numeric
@attribute s1714 numeric
@attribute s1730 numeric
@attribute s2130 numeric
@attribute s2146 numeric
@attribute s2149 numeric
@attribute s2155 numeric
@attribute s2173 numeric
@attribute s2248 numeric
@attribute s2282 numeric
@attribute s2292 numeric
@attribute s2298 numeric
@attribute s2332 numeric
@attribute s2645 numeric
@attribute s2718 numeric
@attribute s2853 numeric
@attribute s3455 numeric
@attribute s3794 numeric
@attribute s4087 numeric
@attribute s4088 numeric
@attribute s4206 numeric
@attribute s5351 numeric
@attribute s5788 numeric
@attribute s5810 numeric
@attribute s6059 numeric
@attribute s6122 numeric
@attribute s6142 numeric
@attribute s6668 numeric
@attribute s7445 numeric
@attribute s7520 numeric
@attribute s7599 numeric
@attribute s7852 numeric
@attribute s8483 numeric
@attribute s8824 numeric
@attribute s10740 numeric
@attribute s12617 numeric
@attribute s12755 numeric
@attribute s12946 numeric
@attribute s13931 numeric
@attribute s14014 numeric
@attribute s14049 numeric
@attribute s14254 numeric
@attribute s14514 numeric
@attribute s14912 numeric
@attribute s16589 numeric
@attribute s16663 numeric
@attribute s17720 numeric
@attribute s19356 numeric
@attribute s22411 numeric
@attribute s22477 numeric
@attribute s25833 numeric
@attribute s26153 numeric
@attribute s28879 numeric
@attribute s34740 numeric
@attribute change_prone {false,true}

@data
14,3,32,1,0,2,0,19,22,5,0,0,0,12,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
4,10,24,5,0,3,0,8,21,0,0,0,0,6,20,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,12,15,2,0,2,0,6,24,0,2,0,0,1,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
11,22,81,5,0,15,0,21,23,25,0,0,0,18,78,0,0,2,0,0,14,0,0,0,0,3,0,1,0,0,1,0,1,0,2,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
2,55,135,331,113,3,7,31,61,13,12,1,0,17,692,0,0,1,0,0,13,0,0,0,4,40,0,0,20,139,8,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,7,0,0,0,0,1,2,0,0,10,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,10,28,2,0,5,2,7,10,0,3,0,0,11,61,1,0,0,0,0,6,0,0,0,1,6,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,36,83,4,7,15,0,15,57,7,2,0,0,28,78,0,0,0,1,0,8,0,25,0,6,1,0,0,0,0,2,1,1,0,1,7,0,0,0,0,7,0,1,4,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,42,297,3,0,31,4,128,129,3,2,0,0,99,529,0,7,0,0,0,28,0,0,1,43,10,2,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,8,16,8,16,0,5,21,29,2,2,0,0,15,105,0,0,0,0,0,8,0,0,0,0,5,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
25,41,164,7,29,10,9,55,195,0,7,0,0,47,94,1,5,1,0,0,81,0,9,0,56,2,0,0,0,0,4,0,0,0,6,2,0,0,0,2,18,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,4,0,5,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,true
4,55,33,301,0,7,1,9,94,0,0,0,0,13,94,1,1,0,0,2,1,0,13,0,1,0,1,0,0,0,3,0,0,0,1,3,0,0,0,0,1,0,0,0,0,3,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,true
27,83,494,40,14,41,10,121,152,70,168,0,4,154,648,0,2,0,80,0,606,0,0,0,5,135,2,0,0,0,5,11,0,0,21,0,0,0,0,0,0,0,7,9,1,0,6,17,24,0,0,0,14,0,0,6,0,0,5,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
6,91,40,5,8,3,5,60,309,18,4,1,2,91,113,0,0,0,2,0,4,0,0,0,0,16,0,0,12,61,0,2,0,0,0,0,0,0,0,0,5,0,2,2,0,3,0,0,0,0,1,0,2,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
2,50,7,1,0,1,5,38,188,0,0,3,0,66,29,0,3,0,0,0,1,0,0,0,0,5,0,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
3,7,7,4,0,3,4,0,11,4,2,0,1,3,29,3,0,0,0,0,1,0,0,0,0,5,0,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,0,1,0,0,0,11,2,0,0,0,0,4,0,48,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
