@relation 'itextpdf-weka.filters.unsupervised.attribute.Remove-V-R17,29,32-33,36,49-50,52-53,59,62,65-67,69,72,75,81,93,95,101,135,188,240,301,318,383,413,426,477,504,514,633,647,665,668,1015,1072,1091,1095,1110,1299,1696,1816,2114,3164,3182,3189,3218,3278,3382,3413,3416,3446,3539-3540,4024,4109,4475,4749,4756,4797,4866,5231,5422,5484,5802,5911,6104,6381,6479,6566,6714,7171,7322,7388,7489,7523,7526,8035,8067,10861,11142,11705,12219,12979,13885,14388,14591,14810,19228,21343,21613,21732,21938,22657,27464,28494,28572'

@attribute CountDeclMethodPrivate numeric
@attribute CountStmtExe numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxNesting numeric
@attribute SumCyclomaticModified numeric
@attribute EgoBetween numeric
@attribute nEgoBetween numeric
@attribute Efficiency numeric
@attribute Constraint numeric
@attribute inFarness numeric
@attribute outCloseness numeric
@attribute Betweenness numeric
@attribute nBetweenness numeric
@attribute OutdwReach numeric
@attribute nOutdwReach numeric
@attribute s1 numeric
@attribute s4 numeric
@attribute s10 numeric
@attribute s22 numeric
@attribute s24 numeric
@attribute s30 numeric
@attribute s64 numeric
@attribute s117 numeric
@attribute s169 numeric
@attribute s230 numeric
@attribute s247 numeric
@attribute s312 numeric
@attribute s342 numeric
@attribute s355 numeric
@attribute s406 numeric
@attribute s433 numeric
@attribute s443 numeric
@attribute s562 numeric
@attribute s576 numeric
@attribute s594 numeric
@attribute s597 numeric
@attribute s944 numeric
@attribute s1001 numeric
@attribute s1020 numeric
@attribute s1024 numeric
@attribute s1039 numeric
@attribute s1228 numeric
@attribute s1625 numeric
@attribute s1745 numeric
@attribute s2043 numeric
@attribute s3093 numeric
@attribute s3111 numeric
@attribute s3118 numeric
@attribute s3147 numeric
@attribute s3207 numeric
@attribute s3311 numeric
@attribute s3342 numeric
@attribute s3345 numeric
@attribute s3375 numeric
@attribute s3468 numeric
@attribute s3469 numeric
@attribute s3953 numeric
@attribute s4038 numeric
@attribute s4404 numeric
@attribute s4678 numeric
@attribute s4685 numeric
@attribute s4726 numeric
@attribute s4795 numeric
@attribute s5160 numeric
@attribute s5351 numeric
@attribute s5413 numeric
@attribute s5731 numeric
@attribute s5840 numeric
@attribute s6033 numeric
@attribute s6310 numeric
@attribute s6408 numeric
@attribute s6495 numeric
@attribute s6643 numeric
@attribute s7100 numeric
@attribute s7251 numeric
@attribute s7317 numeric
@attribute s7418 numeric
@attribute s7452 numeric
@attribute s7455 numeric
@attribute s7964 numeric
@attribute s7996 numeric
@attribute s10790 numeric
@attribute s11071 numeric
@attribute s11634 numeric
@attribute s12148 numeric
@attribute s12908 numeric
@attribute s13814 numeric
@attribute s14317 numeric
@attribute s14520 numeric
@attribute s14739 numeric
@attribute s19157 numeric
@attribute s21272 numeric
@attribute s21542 numeric
@attribute s21661 numeric
@attribute s21867 numeric
@attribute s22586 numeric
@attribute s27393 numeric
@attribute s28423 numeric
@attribute change_prone {false,true}

@data
0,48,8,3,30,0.25,0.595238,0.530612,0.169857,430685,0.116155,0.111429,0.000007,103.509476,0.084086,22,2,1,1,1,21,0,2,1,20,0,0,5,8,0,5,1,2,2,0,0,0,3,3,5,0,0,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,80,2,1,36,10.666667,19.047619,0.601563,0.145646,430322,0.116153,61.284828,0.004054,100.592819,0.081716,22,1,1,1,1,41,0,2,1,56,0,0,4,2,0,4,1,0,0,0,0,0,3,3,5,0,0,0,0,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,3,1,0,3,5,3.205128,0.857988,0.139845,429189,0.081301,4.166667,0.000276,2,0.001625,24,1,1,1,1,21,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,11,1,0,5,1,3.333333,0.625,0.221676,431103,0.116145,0.729167,0.000048,96.659409,0.078521,22,1,1,1,1,41,0,2,1,5,0,0,13,1,0,2,1,0,0,0,0,0,3,3,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,13,2,1,8,3,15,0.7,0.246798,430227,0.116145,1674.786621,0.11079,97.209396,0.078968,22,3,1,1,1,31,0,2,1,3,0,0,9,0,0,1,1,0,1,0,0,0,3,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,164,5,2,102,2049.483887,17.735235,0.913693,0.026648,429659,0.116193,35316.53906,2.33626,140.11676,0.113824,22,46,18,1,1,81,0,2,1,83,0,0,57,53,7,9,1,1,1,0,0,18,3,3,5,5,6,0,1,0,2,0,9,1,0,12,1,8,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,9,6,6.666667,0.72,0.132014,429877,0.116113,45.383926,0.003002,79.645226,0.0647,22,1,1,1,1,21,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,3,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,59,3,2,35,41.75,8.250988,0.758979,0.066591,429819,0.116129,748.244446,0.049498,90.727325,0.073702,22,5,1,1,1,51,0,2,1,27,0,0,8,3,4,6,1,0,1,1,0,0,3,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,130,8,3,85,645.43335,10.212553,0.906719,0.030969,429348,0.116157,12368.17773,0.81818,109.916634,0.089291,214,18,16,1,1,61,0,23,1,49,1,0,34,8,7,9,1,3,5,0,0,0,3,3,5,0,0,0,3,0,2,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,3,1,0,3,0,0,0.941616,0.02125,421676,0.081235,0,0,1,0.000812,24,1,1,1,1,21,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
