@relation 'jEdit-weka.filters.unsupervised.attribute.Remove-V-R9,14,19,32,35,40,45,104,213,221,391,412,428,529,549,553,565,575,722,735,740,794,811,822,845,894,965,978,1049,1072,1140,1158,1165,1169,1378,1386,1395,1653,1876,1923,2296,2522,2671,2695,2898,2907,2916,2919,2925,3914,3988-3989,4039,4062,4161,4246,4332,5973,6019,7341,7507,7518,7822,8748,8939,13689,13991'

@attribute CountDeclClass numeric
@attribute CountDeclInstanceVariable numeric
@attribute CountDeclMethodPublic numeric
@attribute MaxCyclomaticStrict numeric
@attribute SumCyclomatic numeric
@attribute Ties numeric
@attribute 2StepReach numeric
@attribute s33 numeric
@attribute s142 numeric
@attribute s150 numeric
@attribute s320 numeric
@attribute s341 numeric
@attribute s357 numeric
@attribute s458 numeric
@attribute s478 numeric
@attribute s482 numeric
@attribute s494 numeric
@attribute s504 numeric
@attribute s651 numeric
@attribute s664 numeric
@attribute s669 numeric
@attribute s723 numeric
@attribute s740 numeric
@attribute s751 numeric
@attribute s774 numeric
@attribute s823 numeric
@attribute s894 numeric
@attribute s907 numeric
@attribute s978 numeric
@attribute s1001 numeric
@attribute s1069 numeric
@attribute s1087 numeric
@attribute s1094 numeric
@attribute s1098 numeric
@attribute s1307 numeric
@attribute s1315 numeric
@attribute s1324 numeric
@attribute s1582 numeric
@attribute s1805 numeric
@attribute s1852 numeric
@attribute s2225 numeric
@attribute s2451 numeric
@attribute s2600 numeric
@attribute s2624 numeric
@attribute s2827 numeric
@attribute s2836 numeric
@attribute s2845 numeric
@attribute s2848 numeric
@attribute s2854 numeric
@attribute s3843 numeric
@attribute s3917 numeric
@attribute s3918 numeric
@attribute s3968 numeric
@attribute s3991 numeric
@attribute s4090 numeric
@attribute s4175 numeric
@attribute s4261 numeric
@attribute s5902 numeric
@attribute s5948 numeric
@attribute s7270 numeric
@attribute s7436 numeric
@attribute s7447 numeric
@attribute s7751 numeric
@attribute s8677 numeric
@attribute s8868 numeric
@attribute s13618 numeric
@attribute change_prone {false,true}

@data
1,1,1,12,13,4,2.835052,7,0,0,4,1,8,2,0,2,0,0,0,0,0,1,1,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,4,1,4,0,1.804124,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,2,5,8,15,9,3.092783,3,0,0,1,0,3,3,0,1,0,0,0,0,0,3,1,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,6,2,5,9,14,4.639175,4,0,0,1,6,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
10,5,31,6,48,10,3.092783,2,0,0,5,1,12,2,0,1,0,0,0,0,0,4,1,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,4,1,4,4,3.092783,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
13,21,19,7,55,6,3.092783,11,0,0,4,20,0,6,0,1,0,0,0,0,1,4,1,6,0,9,0,1,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,6,10,6,26,66,54.381443,3,0,1,12,0,0,12,0,9,6,0,0,7,2,0,0,6,1,2,0,5,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,0,1,3,0,4.896907,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,3,5,3,8,8,44.84536,2,0,0,3,4,0,15,0,16,4,0,0,0,2,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,0,0,0,3,8.762887,22,0,0,0,0,0,8,0,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,1,1,1,0,4.896907,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
4,2,4,2,7,11,49.742268,2,0,0,1,0,0,9,0,7,6,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,4,9,16,68,47,56.443298,7,1,0,12,3,16,5,0,13,41,7,0,15,0,16,1,7,0,3,0,7,6,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,4,13,2,18,25,44.072166,18,0,0,0,0,2,3,0,8,11,6,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,9,7,7,27,3,28.608248,2,0,0,11,0,0,4,0,0,21,0,0,7,0,6,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,3,4,10,8,53.350517,2,0,0,4,0,0,4,0,2,21,0,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,2,20,10,75,199,79.896904,7,0,0,49,0,1,9,0,20,211,15,0,21,0,11,2,3,0,0,0,4,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,8,7,5,14,38,65.721649,2,0,0,8,0,0,4,0,2,31,1,0,7,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
7,30,130,58,499,481,69.072166,58,15,0,111,23,3,16,0,108,121,80,1,52,8,68,2,57,0,24,49,60,17,14,1,8,24,12,5,0,0,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,1,0,0,0,0,true
3,9,12,9,54,20,49.484535,2,0,0,17,3,30,6,0,6,41,1,0,23,0,9,2,4,0,1,0,1,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,1,9,1,9,100,39.175259,1,0,0,0,0,0,0,0,5,21,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,3,15,2,16,90,53.865978,1,0,0,1,0,0,5,0,13,41,8,0,3,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,4,5,10,143,60.567009,15,0,0,3,1,0,2,0,2,51,1,0,13,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
5,6,19,29,79,151,61.340206,5,5,0,32,0,1,13,0,61,91,12,0,10,1,20,2,0,0,8,0,3,4,0,1,0,12,0,1,2,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,true
4,3,12,5,22,25,47.938145,18,0,0,10,0,0,5,0,24,171,7,0,0,3,0,5,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,5,4,13,28,32,68.556702,4,0,0,17,0,10,7,0,22,31,2,0,23,0,5,1,1,0,0,0,2,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
6,6,57,17,174,405,63.144329,21,0,13,51,30,0,11,4,92,141,35,0,23,6,43,3,5,0,21,0,10,5,1,0,2,0,1,0,2,0,0,8,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,true
1,1,6,8,35,31,51.288658,5,0,0,17,0,0,8,3,1,21,1,0,11,0,5,2,3,0,0,0,1,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
5,12,41,12,97,140,67.268044,22,2,4,49,4,0,7,0,49,31,25,0,13,0,11,3,4,0,10,0,1,4,8,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,4,2,2,9,18,52.061855,1,0,0,3,0,0,1,0,4,11,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
5,0,52,20,225,408,62.886597,28,1,0,18,10,1,8,6,42,31,30,0,22,0,51,2,53,0,7,10,7,2,19,0,2,0,0,3,0,0,8,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,1,1,0,0,2,0,2,0,0,0,true
1,5,13,6,29,44,61.082474,8,0,0,15,0,0,4,0,12,31,6,0,5,0,2,1,2,0,7,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,6,4,7,18,8,48.96907,2,0,0,8,0,0,4,0,4,21,0,0,9,0,7,1,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
