@relation 'liferay-weka.filters.unsupervised.attribute.Remove-V-R10,14,88,115,119,123,161,189,233-234,262,268,318,383,398,544,558-559,574,578,588,601,676,678,717,888,917,1025,1029,1040,1095,1487,1610,1613,1628,1646,1681,1711,1729,2384,2696,3234,4080,4126,4179,4181,5864,5909,5977,6153,6291,6619,6693,6707-6708,7204,8991,9090,9505,9942,10463,10627,11108,12695,16435,22385'

@attribute CountDeclClassMethod numeric
@attribute CountDeclInstanceVariable numeric
@attribute s17 numeric
@attribute s44 numeric
@attribute s48 numeric
@attribute s52 numeric
@attribute s90 numeric
@attribute s118 numeric
@attribute s162 numeric
@attribute s163 numeric
@attribute s191 numeric
@attribute s197 numeric
@attribute s247 numeric
@attribute s312 numeric
@attribute s327 numeric
@attribute s473 numeric
@attribute s487 numeric
@attribute s488 numeric
@attribute s503 numeric
@attribute s507 numeric
@attribute s517 numeric
@attribute s530 numeric
@attribute s605 numeric
@attribute s607 numeric
@attribute s646 numeric
@attribute s817 numeric
@attribute s846 numeric
@attribute s954 numeric
@attribute s958 numeric
@attribute s969 numeric
@attribute s1024 numeric
@attribute s1416 numeric
@attribute s1539 numeric
@attribute s1542 numeric
@attribute s1557 numeric
@attribute s1575 numeric
@attribute s1610 numeric
@attribute s1640 numeric
@attribute s1658 numeric
@attribute s2313 numeric
@attribute s2625 numeric
@attribute s3163 numeric
@attribute s4009 numeric
@attribute s4055 numeric
@attribute s4108 numeric
@attribute s4110 numeric
@attribute s5793 numeric
@attribute s5838 numeric
@attribute s5906 numeric
@attribute s6082 numeric
@attribute s6220 numeric
@attribute s6548 numeric
@attribute s6622 numeric
@attribute s6636 numeric
@attribute s6637 numeric
@attribute s7133 numeric
@attribute s8920 numeric
@attribute s9019 numeric
@attribute s9434 numeric
@attribute s9871 numeric
@attribute s10392 numeric
@attribute s10556 numeric
@attribute s11037 numeric
@attribute s12624 numeric
@attribute s16364 numeric
@attribute change_prone {false,true}

@data
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
28,0,1,30,13,11,0,0,0,0,0,0,0,0,6,35,1,14,0,4,4,27,0,0,1,0,12,0,0,22,19,17,6,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,10,0,4,0,1,0,0,0,0,0,0,0,0,0,19,1,19,0,6,55,6,6,1,2,0,0,0,0,0,10,10,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,12,0,4,0,1,0,0,0,0,0,0,0,0,0,16,1,23,0,3,58,6,8,1,2,0,10,0,0,0,5,0,0,0,1,0,0,0,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,51,0,81,25,15,0,174,0,0,0,0,0,0,0,84,1,149,25,0,222,90,65,0,25,0,12,0,0,0,63,24,0,48,39,0,0,0,0,25,5,0,0,0,7,7,0,0,0,6,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
0,55,0,103,29,13,0,194,0,0,0,0,0,0,0,86,1,143,29,0,224,64,71,0,29,0,34,0,0,0,97,0,0,30,61,0,0,0,101,29,5,0,0,0,7,7,0,0,0,4,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
0,17,0,5,0,1,0,0,0,0,0,0,0,0,0,19,1,35,0,5,79,7,13,1,3,10,10,0,0,0,10,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,63,0,80,31,13,0,210,0,0,0,0,0,0,0,42,1,149,31,0,182,79,75,0,31,12,2,0,0,0,45,0,0,26,50,0,0,0,0,31,3,0,0,0,3,3,0,0,0,16,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,true
0,9,0,29,4,7,0,32,0,0,0,0,0,0,0,6,1,36,4,0,37,12,15,0,4,0,6,0,0,0,0,0,0,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,13,0,5,0,1,0,0,0,0,0,0,0,0,0,24,1,25,0,3,63,6,9,1,2,0,10,0,0,0,5,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
