@relation 'lucene-weka.filters.unsupervised.attribute.Remove-V-R9,20,24,42,47,60-61,63,65-66,113,118,121,150,179,273,328,350,385,389,410,488,499,519,542,640,659,831,834,867,984,1018,1103,1778,1781,1810,1837,1853,1860,1908,1926,1945,1948,1973,1982,2009,2211,2271,2278,2306,2325,2711,3020,3037,3105,3195,3227,4368,4407,5048,6297,6488,7039,7045,7560,7647,7839,7860,8050,8061,8116,8202,8432,11617,11905,11975,15261'

@attribute CountDeclClass numeric
@attribute CountLine numeric
@attribute CountLineCodeExe numeric
@attribute Density numeric
@attribute Broker numeric
@attribute outFarness numeric
@attribute inCloseness numeric
@attribute Eigenvec numeric
@attribute Betweenness numeric
@attribute nBetweenness numeric
@attribute s42 numeric
@attribute s47 numeric
@attribute s50 numeric
@attribute s79 numeric
@attribute s108 numeric
@attribute s202 numeric
@attribute s257 numeric
@attribute s279 numeric
@attribute s314 numeric
@attribute s318 numeric
@attribute s339 numeric
@attribute s417 numeric
@attribute s428 numeric
@attribute s448 numeric
@attribute s471 numeric
@attribute s569 numeric
@attribute s588 numeric
@attribute s760 numeric
@attribute s763 numeric
@attribute s796 numeric
@attribute s913 numeric
@attribute s947 numeric
@attribute s1032 numeric
@attribute s1707 numeric
@attribute s1710 numeric
@attribute s1739 numeric
@attribute s1766 numeric
@attribute s1782 numeric
@attribute s1789 numeric
@attribute s1837 numeric
@attribute s1855 numeric
@attribute s1874 numeric
@attribute s1877 numeric
@attribute s1902 numeric
@attribute s1911 numeric
@attribute s1938 numeric
@attribute s2140 numeric
@attribute s2200 numeric
@attribute s2207 numeric
@attribute s2235 numeric
@attribute s2254 numeric
@attribute s2640 numeric
@attribute s2949 numeric
@attribute s2966 numeric
@attribute s3034 numeric
@attribute s3124 numeric
@attribute s3156 numeric
@attribute s4297 numeric
@attribute s4336 numeric
@attribute s4977 numeric
@attribute s6226 numeric
@attribute s6417 numeric
@attribute s6968 numeric
@attribute s6974 numeric
@attribute s7489 numeric
@attribute s7576 numeric
@attribute s7768 numeric
@attribute s7789 numeric
@attribute s7979 numeric
@attribute s7990 numeric
@attribute s8045 numeric
@attribute s8131 numeric
@attribute s8361 numeric
@attribute s11546 numeric
@attribute s11834 numeric
@attribute s11904 numeric
@attribute change_prone {false,true}

@data
4,736,485,5.454545,52,995989,0.1002,0.000355,40.5,0.004038,0,0,0,0,0,0,31,0,0,57,1,0,0,0,301,0,0,214,16,10,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,98,37,0,3,871053,0.099701,0.007945,0,0,1,0,3,1,1,0,2,0,0,1,6,0,0,0,0,0,0,8,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,64,16,33.333332,4,892064,0.099701,0.017087,0,0,1,0,3,1,0,0,2,0,0,2,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,71,7,6.666667,14,891088,0.1,0.013389,35.950001,0.003584,3,0,1,1,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,86,19,10,9,881078,0.0998,0.012857,11.833333,0.00118,6,0,1,1,0,0,4,0,0,0,5,0,0,0,1,0,0,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,160,78,23.809525,16,861008,0.099701,0.027793,0,0,1,0,1,1,2,0,2,0,0,2,3,1,0,0,1,0,0,21,0,0,3,5,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,177,85,23.333334,34.5,829961,0.099701,0.039765,0,0,1,0,1,1,0,0,4,0,0,7,1,0,0,0,0,0,0,41,0,2,8,10,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
5,987,219,2.509157,18630.5,892965,0.226911,0.219043,23264.34766,2.319472,22,1,40,1,4,17,61,0,4,26,21,11,0,0,3,0,1,71,1,82,6,26,0,0,0,19,0,35,0,2,5,0,0,0,0,0,0,0,1,1,0,0,0,1,21,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,43,16,0,true
2,2121,542,3.214985,10386,892953,0.22684,0.21482,17918.64453,1.786501,78,1,42,14,1,13,161,0,12,85,60,15,3,11,0,0,1,168,2,66,20,41,0,0,7,25,0,17,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,32,0,0,0,34,2,0,0,0,0,0,0,0,0,0,1,0,2,0,56,21,0,true
1,155,0,21.212122,182,892983,0.226526,0.05108,64.526947,0.006433,27,2,6,1,0,2,1,0,0,14,3,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
