@relation 'struts-weka.filters.unsupervised.attribute.Remove-V-R11,18,20,25-26,31-32,36,62,65,97,233,236,251,266,269,273,279,334-335,347,494,506,529,532,534,579,643,684,687,704,711,748,805,981,1224,1445,1791,1820,1828,1831,1886,1910,1948,1960,2036,2039,2087,2098,2351,2432,2437,2504,2541,2647,2764,2774,2836,2895,2969,3184,3411,3415,3504,3521,3605,3666,3752,3769,4087,4245,4252,4500,5230,5448,5556,6654,6713,6728,7271,8470,9404,10186,10218'

@attribute CountDeclClassVariable numeric
@attribute CountDeclMethodProtected numeric
@attribute CountLine numeric
@attribute CountLineComment numeric
@attribute CountSemicolon numeric
@attribute MaxCyclomaticModified numeric
@attribute MaxCyclomaticStrict numeric
@attribute SumCyclomaticModified numeric
@attribute outCloseness numeric
@attribute Betweenness numeric
@attribute s26 numeric
@attribute s162 numeric
@attribute s165 numeric
@attribute s180 numeric
@attribute s195 numeric
@attribute s198 numeric
@attribute s202 numeric
@attribute s208 numeric
@attribute s263 numeric
@attribute s264 numeric
@attribute s276 numeric
@attribute s423 numeric
@attribute s435 numeric
@attribute s458 numeric
@attribute s461 numeric
@attribute s463 numeric
@attribute s508 numeric
@attribute s572 numeric
@attribute s613 numeric
@attribute s616 numeric
@attribute s633 numeric
@attribute s640 numeric
@attribute s677 numeric
@attribute s734 numeric
@attribute s910 numeric
@attribute s1153 numeric
@attribute s1374 numeric
@attribute s1720 numeric
@attribute s1749 numeric
@attribute s1757 numeric
@attribute s1760 numeric
@attribute s1815 numeric
@attribute s1839 numeric
@attribute s1877 numeric
@attribute s1889 numeric
@attribute s1965 numeric
@attribute s1968 numeric
@attribute s2016 numeric
@attribute s2027 numeric
@attribute s2280 numeric
@attribute s2361 numeric
@attribute s2366 numeric
@attribute s2433 numeric
@attribute s2470 numeric
@attribute s2576 numeric
@attribute s2693 numeric
@attribute s2703 numeric
@attribute s2765 numeric
@attribute s2824 numeric
@attribute s2898 numeric
@attribute s3113 numeric
@attribute s3340 numeric
@attribute s3344 numeric
@attribute s3433 numeric
@attribute s3450 numeric
@attribute s3534 numeric
@attribute s3595 numeric
@attribute s3681 numeric
@attribute s3698 numeric
@attribute s4016 numeric
@attribute s4174 numeric
@attribute s4181 numeric
@attribute s4429 numeric
@attribute s5159 numeric
@attribute s5377 numeric
@attribute s5485 numeric
@attribute s6583 numeric
@attribute s6642 numeric
@attribute s6657 numeric
@attribute s7200 numeric
@attribute s8399 numeric
@attribute s9333 numeric
@attribute s10115 numeric
@attribute change_prone {false,true}

@data
0,0,44,24,8,1,1,1,0,0,2,1,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,108,50,22,2,3,11,0.102145,0,2,0,0,0,2,2,0,7,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,51,24,14,1,1,1,0.102249,0,2,1,0,0,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,58,23,15,3,4,5,0.102145,0,7,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,153,59,46,9,10,15,0.102564,20.5,6,0,0,0,0,4,0,9,0,0,0,6,0,0,0,0,5,0,9,0,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,127,54,33,4,4,8,0.104488,22,3,2,0,0,21,1,0,0,0,0,0,3,2,0,0,0,4,1,0,1,5,5,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,38,23,7,1,1,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,47,23,10,1,1,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,58,23,19,3,3,5,0.102249,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,33,24,2,1,1,2,0.102145,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,56,24,12,1,1,5,0.102249,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,108,64,17,4,5,7,0.102564,0,2,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,9,0,1,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,233,72,67,9,15,28,0.102564,0,25,0,4,0,0,2,0,1,0,0,0,12,0,0,0,0,12,0,9,0,2,2,6,0,0,0,0,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,43,20,10,1,1,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,3,155,79,30,7,7,14,0.102459,2,2,4,0,1,10,2,0,8,0,0,0,9,0,0,0,0,14,0,1,1,2,2,0,0,3,0,4,0,0,0,0,0,0,0,8,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true
2,4,258,93,55,24,31,33,0.109378,0,5,0,0,0,21,3,2,121,4,0,0,25,0,4,0,3,13,2,6,10,4,4,10,9,0,1,0,2,0,1,0,0,1,3,19,0,0,0,0,0,0,2,1,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,65,26,21,4,4,10,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,11,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,79,25,23,4,4,10,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,11,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,57,22,14,1,1,4,0.105037,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
9,7,753,235,206,12,14,92,0.102669,5,5,0,0,0,0,2,5,12,0,0,16,49,16,1,0,1,61,12,16,1,15,15,6,2,0,0,0,2,0,5,3,0,0,2,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false
1,0,176,67,35,6,6,23,0.102459,87.25,8,0,0,0,2,2,0,11,0,0,0,15,0,0,2,0,6,1,2,6,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,1,93,25,26,1,1,5,0.104595,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,true
2,0,314,151,84,9,9,23,0.108678,5817.116699,7,0,0,0,3,2,0,1,0,0,0,11,2,3,0,0,9,2,3,6,36,36,8,1,3,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,1,0,0,1,0,4,0,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,112,0,1,0,0,0,0,0,0,4,0,true
1,1,112,29,37,5,5,12,0.103197,726.833313,12,0,0,0,0,1,0,0,0,0,0,8,5,0,0,0,10,5,2,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,8,272,28,92,7,8,44,0.102249,1,5,0,0,4,0,1,0,2,0,0,4,19,2,0,0,0,43,2,9,0,8,8,5,5,0,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,false
2,2,75,31,18,2,2,3,0.102249,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,59,20,18,3,3,6,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,103,21,28,1,1,12,0.102249,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,123,23,46,1,1,2,0.126536,0,2,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,135,26,49,1,1,16,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,1,342,75,84,18,24,50,0.109153,52.8894,5,2,1,0,2,5,0,0,0,0,0,11,0,0,0,0,58,2,15,2,3,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,2,88,29,24,7,9,10,0.102145,0,2,0,0,0,0,11,0,7,0,0,0,11,0,0,1,0,3,1,5,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,53,23,9,2,2,4,0.103304,1241.333374,3,0,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,40,30,3,1,1,1,0.102145,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,96,24,27,2,2,13,0.102145,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,94,57,12,1,1,6,0.102249,1,7,0,0,0,13,3,0,1,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
